month_year,Selection,Patreon,Title,Series,Publication,Pages,Rating,A,B,C,D,n_votes
08-17,Selected,no,DS9: Avatar book 1,DS9,2001,324,B,0.35,0.47,0.18,0,17
09-17,Selected,no,DS9: Avatar book 2,DS9,2001,256,A,0.6,0.2,0.2,0,10
10-17,Vote,no,Discovery: Desperate Hours,DSC,2017,384,A,0.63,0.33,0.04,0,27
11-17,Vote,no,Spock's World,TOS,1989,400,A,0.47,0.32,0.16,0.05,19
12-17,Selected,no,Voyager: Homecoming,VGR,2003,262,B,0.34,0.44,0.16,0.06,32
01-18,Selected,no,Voyager: The Farther Shore,VGR,2003,275,B,0.28,0.4,0.28,0.04,25
02-18,Vote,no,Enterprise: The Good That Men Do ,ENT,2007,466,A,0.54,0.21,0.11,0.14,28
03-18,Selected,no,DS9: A Stitch In Time,DS9,2000,396,A,0.69,0.21,0.03,0.07,29
04-18,Vote,no,Discovery: Drastic Measures,DSC,2018,400,A,0.49,0.36,0.08,0.08,39
05-18,Vote,no,Voyager: Pathways,VGR,1998,501,B,0.39,0.46,0.07,0.07,41
06-18,Selected,no,TNG: Death In Winter,TNG,2005,336,B,0.27,0.54,0.12,0.08,26
07-18,Selected,no,Discovery: Fear Itself,DSC,2018,304,A,0.6,0.21,0.07,0.12,43
08-18,Vote,no,Articles of the Federation,Unaffiliated,2005,416,A,0.58,0.39,0.03,0,31
09-18,Selected,yes,DS9: The Never-Ending Sacrifice,DS9,2009,384,A,0.85,0.13,0,0.02,40
10-18,Vote,no,Titan: Taking Wing,Unaffiliated,2005,384,B,0.4,0.45,0.1,0.05,40
11-18,Selected,no,Titan: The Red King,Unaffiliated,2005,384,B,0.32,0.53,0.16,0,19
12-18,Vote,no,Voyager: Mosaic,VGR,1996,320,B,0.41,0.49,0.08,0.02,61
01-19,Vote,yes,DS9: The Lives of Dax,DS9,1999,347,A,0.46,0.36,0.16,0.02,50
02-19,Selected,no,Discovery: The Way To The Stars,DSC,2009,288,A,0.63,0.27,0.04,0.05,73
03-19,Vote,yes,DS9 - Section 31: Abyss,DS9,2001,292,A,0.48,0.41,0.1,0,29
04-19,Vote,yes,Enterprise - Rise of the Federation: A Choice of Futures,ENT,2013,352,A,0.48,0.21,0.12,0.18,33
